day,Capital Available at the start of day,Customer Base at the start of day,m (million),p (probability),M (million),G,Customer Base at end of the day,total orders,Capital Available at end of the day
1,15000000.0,1020000.0,6.904210526315788,0.8276564923984027,1.0526315789473684,1.0021553374635874,1022003,216971,15061417.894736843
2,15061417.894736843,1022003.0,6.904210526315788,0.8276564923984027,1.0526315789473684,1.0021553374635874,1024010,217397,15148395.789473686
3,15148395.789473686,1024010.0,6.906110526315788,0.8276564923984027,1.0527315789473684,1.0021553374635874,1026021,217824,15258993.684210531
4,15258993.684210531,1026021.0,6.909910526315788,0.8276564923984027,1.0529315789473683,1.0021553374635874,1028037,218252,15391271.578947375
5,15391271.578947375,1028037.0,6.915610526315788,0.8276564923984027,1.0532315789473683,1.0021553374635874,1030059,218681,15543289.473684218
6,15543289.473684218,1030059.0,6.923210526315788,0.8276564923984027,1.0536315789473683,1.0021553374635874,1032087,219112,15713167.368421061
7,15713167.368421061,1032087.0,6.932710526315788,0.8276564923984027,1.0541315789473682,1.0021553374635874,1034121,219543,15898905.263157904
8,15898905.263157904,1034121.0,6.9441105263157885,0.8276564923984027,1.0547315789473681,1.0021553374635874,1036162,219977,16098683.157894747
9,16098683.157894747,1036162.0,6.957410526315789,0.8276564923984027,1.055431578947368,1.0021553374635874,1038211,220412,16310561.05263159
10,16310561.05263159,1038211.0,6.972610526315789,0.8276564923984027,1.056231578947368,1.0021553374635874,1040268,220848,16532598.947368434
11,16532598.947368434,1040268.0,6.989710526315789,0.8276564923984027,1.0571315789473679,1.0021553374635874,1042334,221287,16762976.842105277
12,16762976.842105277,1042334.0,7.008710526315789,0.8276564923984027,1.0581315789473678,1.0021553374635874,1044409,221728,16999814.73684212
13,16999814.73684212,1044409.0,7.029610526315789,0.8276564923984027,1.0592315789473679,1.0021553374635874,1046494,222170,17241172.63157896
14,17241172.63157896,1046494.0,7.052410526315789,0.8276564923984027,1.060431578947368,1.0021553374635874,1048590,222615,17485230.5263158
15,17485230.5263158,1048590.0,7.077110526315789,0.8276564923984027,1.061731578947368,1.0021553374635874,1050697,223062,17730108.421052642
16,17730108.421052642,1050697.0,7.10371052631579,0.8276564923984027,1.063131578947368,1.0021553374635874,1052815,223512,17973986.315789483
17,17973986.315789483,1052815.0,7.13221052631579,0.8276564923984027,1.0646315789473682,1.0021553374635874,1054945,223964,18214984.210526325
18,18214984.210526325,1054945.0,7.16261052631579,0.8276564923984027,1.0662315789473682,1.0021553374635874,1057088,224419,18451282.105263166
19,18451282.105263166,1057088.0,7.19491052631579,0.8276564923984027,1.0679315789473682,1.0021553374635874,1059244,224877,18681060.000000007
20,18681060.000000007,1059244.0,7.22911052631579,0.8276564923984027,1.0697315789473683,1.0021553374635874,1061413,225337,18902437.89473685
21,18902437.89473685,1061413.0,7.265210526315791,0.8276564923984027,1.0716315789473683,1.0021553374635874,1063596,225801,19113655.78947369
22,19113655.78947369,1063596.0,7.303210526315791,0.8276564923984027,1.0736315789473683,1.0021553374635874,1065794,226268,19312893.68421053
23,19312893.68421053,1065794.0,7.343110526315791,0.8276564923984027,1.0757315789473683,1.0021553374635874,1068007,226737,19498271.578947373
24,19498271.578947373,1068007.0,7.3849105263157915,0.8276564923984027,1.0779315789473682,1.0021553374635874,1070235,227210,19668029.473684214
25,19668029.473684214,1070235.0,7.428610526315792,0.8276564923984027,1.0802315789473682,1.0021553374635874,1072479,227687,19820407.368421055
26,19820407.368421055,1072479.0,7.474210526315792,0.8276564923984027,1.0826315789473682,1.0021553374635874,1074740,228167,19953585.263157897
27,19953585.263157897,1074740.0,7.521710526315792,0.8276564923984027,1.0851315789473681,1.0021553374635874,1077017,228650,20065743.157894738
28,20065743.157894738,1077017.0,7.571110526315793,0.8276564923984027,1.087731578947368,1.0021553374635874,1079312,229137,20155121.05263158
29,20155121.05263158,1079312.0,7.622410526315793,0.8276564923984027,1.090431578947368,1.0021553374635874,1081625,229628,20219958.947368417
30,20219958.947368417,1081625.0,7.675610526315793,0.8276564923984027,1.0932315789473679,1.0021553374635874,1083956,230123,20258496.842105255
